style,college
background-color: #00703c; border-bottom: 4px solid #000; color: white;,South Carolina Upstate
background-color: #00703c; border-bottom: 4px solid #B58150; color: white;,Stetson
background-color: #4E3629; border-bottom: 4px solid #e4002b;,Brown
background-color: #003865; border-bottom: 4px solid #9BCBEB;,Columbia
background-color: #B31B1B; border-bottom: 4px solid #000000;,Cornell
background-color: #046A38; border-bottom: 4px solid #000000;,Dartmouth
background-color: #A41034; border-bottom: 4px solid #000000;,Harvard
background-color: #011F5B; border-bottom: 4px solid #990000;,Penn
background-color: #FF671F; border-bottom: 4px solid #000000;,Princeton
background-color: #00356B; border-bottom: 4px solid #00356B;,Yale
background-color: #046A38; border-bottom: 4px solid #B9975B;,Charlotte
background-color: #003366; border-bottom: 4px solid #cc0000;,Florida Atlantic (FAU)
background-color: #081E3F; border-bottom: 4px solid #B6862C;,Florida International (FIU)
background-color: #E31B23; border-bottom: 4px solid #002F8B;,Louisiana Tech
background-color: #00B140; border-bottom: 4px solid #27251F;,Marshall
background-color: #0066CC; border-bottom: 4px solid #000;,Middle Tennessee
background-color: #00853E; border-bottom: 4px solid #000;,North Texas
background-color: #003057; border-bottom: 4px solid #7C878E;,Old Dominion
background-color: #00205B; border-bottom: 4px solid #C1C6C8;,Rice
background-color: #000; border-bottom: 4px solid #FFAB00;,Southern Miss
background-color: #006341; border-bottom: 4px solid #CC8A00;,UAB
background-color: #FF8200; border-bottom: 4px solid #041E42;,UTEP
background-color: #F15A22; border-bottom: 4px solid #0C2340;,UTSA
background-color: #c60c30; border-bottom: 4px solid #1e1e1e;,WKU
background-color: #041E42; border-bottom: 4px solid #A89969;,Akron
background-color: #4F2C1D; border-bottom: 4px solid #FE5000;,Bowling Green
background-color: #005BBB; border-bottom: 4px solid #FE5000;,Buffalo
background-color: #002664; border-bottom: 4px solid #EAAB00;,Kent State
background-color: #B61E2E; border-bottom: 4px solid #000;,Miami
background-color: #00694E; border-bottom: 4px solid #CDA077;,Ohio
background-color: #BA0C2F; border-bottom: 4px solid #000000;,Ball State
background-color: #6A0032; border-bottom: 4px solid #6A0032;,Central Michigan
background-color: #006633; border-bottom: 4px solid #000000;,Eastern Michigan
background-color: #BA0C2F; border-bottom: 4px solid #8A8D8F;,Northern Illinois
background-color: #15397F; border-bottom: 4px solid #FFDA00;,Toledo
background-color: #15397F; border-bottom: 4px solid #B5A167;,Western Michigan
background-color: #0c2340; border-bottom: 4px solid #FFBA00;,Canisius
background-color: #c8102e; border-bottom: 4px solid #A2AAAD;,Fairfield
background-color: #6f2c3f; border-bottom: 4px solid #F2A900;,Iona
background-color: #00703c; border-bottom: 4px solid #00703C;,Manhattan
background-color: #c8102e; border-bottom: 4px solid #B2B2B2;,Marist
background-color: #041e42; border-bottom: 4px solid #53565A;,Monmouth
background-color: #582c83; border-bottom: 4px solid #582C83;,Niagara
background-color: #981e32; border-bottom: 4px solid #6C6F70;,Rider
background-color: #003c71; border-bottom: 4px solid #0072CE;,St. Peter’s
background-color: #0c2340; border-bottom: 4px solid #FFC72C;,Quinnipiac Bobcats
background-color: #006747; border-bottom: 4px solid #FFC72C;,Siena
background-color: #f2a900; color: white; border-bottom: 4px solid #6F263D;,B-C Wildcats
background-color: #003056; color: white; border-bottom: 4px solid #ffc915;,Coppin State Eagles
background-color: #ee3124; color: white; border-bottom: 4px solid #009DDC;,Delaware State Hornets
background-color: #ee7624; color: white; border-bottom: 4px solid #1b5633;,Florida A&M Rattlers
background-color: #003a63; color: white; border-bottom: 4px solid #e51937;,Howard Bisons
background-color: #862633; color: white; border-bottom: 4px solid #888B8D;,Maryland E.S. Hawks
background-color: #1b4383; color: white; border-bottom: 4px solid #f47937;,Morgan State Bears
background-color: #007a53; color: white; border-bottom: 4px solid #F3D03E;,Norfolk State Spartans
background-color: #f3b237; color: white; border-bottom: 4px solid #003d6d;,North Carolina Aggies
background-color: #880023; color: white; border-bottom: 4px solid #8e9093;,North Carolina Eagles
background-color: #862633; color: white; border-bottom: 4px solid #001A72;,South Carolina Bulldogs
background-color: #003087; border-bottom: 4px solid #B1B3B3;,Air Force
background-color: #0033A0; border-bottom: 4px solid #d64309;,Boise State
background-color: #1E4D2B; border-bottom: 4px solid #C8C372;,Colorado State
background-color: #db0032; border-bottom: 4px solid #002E6d;,Fresno State
background-color: #024731; border-bottom: 4px solid #c8c8c8;,Hawaii
background-color: #003366; border-bottom: 4px solid #807F84;,Nevada
background-color: #Ba0c2f; border-bottom: 4px solid #63666A;,New Mexico
background-color: #A6192E; border-bottom: 4px solid #000;,San Diego State
background-color: #0055A2; border-bottom: 4px solid #e5A823;,San Jose State
background-color: #b10202; border-bottom: 4px solid #666666;,UNLV
background-color: #0F2439; border-bottom: 4px solid #9d968d;,Utah State
background-color: #492f24; border-bottom: 4px solid #ffc425;,Wyoming
background-color: #c41e3a; color: white; border-bottom: 4px solid #ADAFAA;,Austin Peay Governors
background-color: #00205b; color: white; border-bottom: 4px solid #C8102E;,Belmont Bruins
background-color: #919295; color: white; border-bottom: 4px solid #00205B;,Eastern Illinois Panthers
background-color: #8a0039; color: white; border-bottom: 4px solid #ffffff;,E. Kentucky Colonels
background-color: #cc0000; color: white; border-bottom: 4px solid #ffffff;,J. State Gamecocks
background-color: #ffcf00; color: white; border-bottom: 4px solid #005EB8;,Morehead State Eagles
background-color: #ecac00; color: white; border-bottom: 4px solid #002144;,Murray State Racers
background-color: #000000; color: white; border-bottom: 4px solid #C8102E;,SE M.S. Redhawks
background-color: #ef3829; color: white; border-bottom: 4px solid #ffffff;,SIUE Cougars
background-color: #00539f; color: white; border-bottom: 4px solid #ffffff;,Tennessee State Tigers
background-color: #4f2984; color: white; border-bottom: 4px solid #FFDD00;,Tennessee Golden Eagles
